,Latitude,Longitude,CategoryID,Precision code
251,40.396276,34.032887,3,2
252,39.6310737661,30.9895776103,3,3
253,27.78,30.79,2,3
254,23,29,2,3
258,39.5,31,3,3
259,39.6310737661,30.9895776103,3,3
261,38.849078,35.632229,3,2
262,39.6310737661,30.9895776103,3,3
263,39.6310737661,30.9895776103,3,3
264,50,11,7,4
265,30.3383,42.4989,3,4
266,33,36,3,3
267,42.25,12.5,1,4
268,46.5,104.5,6,3
269,35,103.25,6,4
270,33,102,6,4
271,34.5,100.5,6,4
272,33.5,103,6,4
273,42.189608,59.326172,5,3
274,36.5801979293,17.1153617347,3,4
275,31.25,35,3,3
276,46.691895,31.901597,4,2
277,37.5,22.5,1,3
278,33,36,3,3
279,35.0413672607,33.2756110602,3,3
280,33.5114776451,36.3070100711,3,2
281,24,28,2,3
282,24,28,2,3
283,35,19.5,7,5
284,35,18.75,7,5
285,37.4202265076,25.8990768471,1,3
286,37.25,22.25,1,3
287,31.25,34.75,3,3
288,32.5,44.5,3,3
289,28.75,42.5,3,4
290,32,54,3,3
291,32,56,3,3
292,45.2,60.2,5,3
293,33,35.5,3,3
294,33,36.75,3,3
295,30.25,34.25,3,3
296,30.75,35,3,3
297,29.5,34.0,3,3
298,32.053079,34.7499295,3,2
299,34,44.5,3,3
300,28,42,3,4
301,29.3,42.5,3,4
302,41.8917375,12.4861685,1,4
303,32,54,3,3
304,34.75,18.75,7,5
305,42,12.25,1,4
306,41.9,12.5,1,4
307,34.5,18.5,7,5
308,42.4395125,3.1766232,1,3
309,13.25,103.8333,6,2
310,13.43333,103.8333,6,2
311,13.43333,103.8333,6,2
312,13.43333,103.8333,6,2
313,13.43333,103.8333,6,2
314,13.4124738681,103.866878386,6,1
315,13.43333,103.8333,6,2
317,31.6,46,3,2
318,21,78,6,4
319,37.5,22.5,1,3
320,34,44,3,3
321,35,19,7,5
322,38.849078,35.632229,3,2
323,38.849078,35.632229,3,2
324,38.75,35.5,3,2
325,25.5,28,2,3
326,24,30,2,3
327,50.5,58.5,5,4
329,36.8903095,30.699968,3,2
330,34,44,3,3
331,35,19,7,5
332,39.6310737661,30.9895776103,3,3
349,28.75,42.75,3,4
350,29,42,3,4
351,29.5,42.5,3,4
352,29.3,42.5,3,4
353,39.13153246,27.18422554,3,2
354,41.5,12,1,4
355,35,18.5,1,5
356,35,38,3,3
357,60,47,4,4
364,30.993,104.2,6,1
366,32.116466,34.934048,3,2
367,32.116466,34.934048,3,2
368,34,22.5,1,4
369,41.8917375,12.4861685,1,4
370,32,53,3,3
371,34,23.5,3,4
372,28.75,43,3,4
373,50,58.5,7,4
374,31.2799119,35.1255017,3,1
376,39.283611,43.371944,4,3
377,39.283611,43.6,4,3
378,39.283611,43.371944,4,3
379,29,42,3,4
380,32.0807748717,48.3289663161,3,2
381,35,38,3,3
382,29,42.75,3,4
383,21.166667,94.866667,6,2
384,35,19,7,5
385,26,30,2,3
386,33.8333,35.8333,1,3
387,33.8333,35.8333,1,3
388,35.25,19,7,5
389,45,23,1,3
390,30.3383,42.4989,3,4
391,40.0718920039,8.90091179614,1,3
392,31.928333,35.238333,3,3
393,35,19.5,7,5
394,31.741828,35.459407,3,1
395,36.25,17,1,4
396,37.5,22.5,1,3
397,36,18,7,5
398,14.125005,38.721522,2,1
399,35,19,7,5
400,35,19,7,5
401,37.382668,-5.996293,1,2
402,31.25,34.75,3,3
403,31.318403,34.653073,3,1
404,51,55.5,4,4
405,50.5,58.75,4,4
406,50.5,58.5,4,4
407,50.5,59,4,4
408,50.5,59,4,4
409,50.5,58.5,4,4
410,50,51,4,4
411,50.5,58.5,4,4
412,50.5,58.5,4,4
413,31.25,35,1,3
414,32.75,35.25,3,3
415,29,42,3,4
417,37.5,22.25,1,3
418,39.6310737661,30.9895776103,3,3
419,34.25,103,6,4
420,37.4202265076,25.8990768471,1,3
421,30.96233805,46.10397,3,2
422,42,43.5,4,3
423,34.25,36.25,3,3
424,39.6310737661,30.9895776103,3,3
425,35.602208,35.785680,3,2
426,38.479252432,28.031092807,2,1
427,30.3383,42.4989,3,4
428,36.84837212,10.32340778,2,2
429,37.75,29.25,3,2
430,35,18.5,7,5
431,34.5523591,40.8843621,3,2
432,37.25,25.8990768471,1,3
434,37.9765256666,23.7255156587,1,2
435,39.25,30.75,3,3
509,60,-175,5,3
510,42,22.5,1,3
511,39.283611,43.371944,4,3
512,39.75,40.5,4,3
514,40.25,40.5,4,3
517,39.283611,43.371944,4,3
520,38.3649435,38.3378895,3,2
521,34.75,102.5,6,4
522,39.5232397778,16.71231,1,3
523,36.5801979293,17.1153617347,7,4
524,35,102.5,6,4
525,33,65,5,3
526,32.5,72.5,6,3
527,-5,120,6,3
528,35,101.5,6,4
529,52.947222,141.083889,6,3
530,35,19,7,5
531,-5,120,6,3
532,36.5801979293,17.1153617347,1,4
533,30.3383,42.4989,3,4
535,37.0804631,22.42837425,1,2
536,25,31,2,3
537,33.5,102.5,6,4
539,34.857075,35.8584331667,3,2
541,37.94218342,27.34551256,3,3
542,24,30,2,3
547,31.6659785,34.545947,3,2
548,31.6659785,34.545947,3,2
549,31.6659785,34.545947,3,2
550,43.25,87.331111,6,4
551,43.681111,87.331111,6,4
552,34.7491245,40.7285885,3,2
553,41.8917375,12.4861685,1,4
554,37.5,37.5,3,3
555,34,44.5,3,3
556,38.85006045,35.63763255,3,2
557,35.521389,43.236332,3,2
558,36,43.3,3,3
559,35.5,43.2,3,2
560,32.25,44.5,3,3
561,30.3383,42.4989,3,4
562,32.5,44.75,3,3
563,28.542574,30.65172,2,2
564,29.5,42,3,4
565,39.6310737661,30.9895776103,4,3
566,37.9765256666,23.7255156587,1,2
567,26.511376,31.665497,2,2
568,26.511376,31.665497,2,2
569,37.75,29,3,2
570,30.3383,42.4989,3,4
571,42.5,12.5,1,3
572,31,34.75,3,3
573,29,42,3,4
574,29.25,42,3,4
575,32,54.25,3,3
576,37.5,22.5,1,3
577,25.4,30,2,3
578,25,29,2,3
579,32,53,3,3
580,41.9,12.5,1,4
581,41.9,12.5,1,4
582,41.89,12.48,1,4
583,26.75,30,2,3
584,37.384829,27.256115,3,1
585,35.521389,43.236332,3,2
586,36.14945,38.061005,3,1
587,36.6465219,39.498189,3,2
588,40.01824972,34.78,3,2
589,40.01824972,34.62021474,3,2
590,43.681111,87.331111,3,4
591,41.011,28.97,1,4
592,30.5,51.5,3,3
593,30.75,30.25,2,3
594,39.656498,66.947223,5,3
595,45.4,43,4,3
597,34.0110135,36.2021205,3,2
598,31.2539283,35.5354181,3,2
599,32.542956,44.4260235,3,2
600,32.542956,44.4260235,3,3
601,32.542956,44.4260235,3,3
602,32.542956,44.4260235,3,3
603,29.25,42.25,1,4
604,32.5,44.5,3,3
605,32.542956,44.4260235,3,3
606,32.542956,44.4260235,3,3
607,27.0000001,50.9999999,3,3
608,32.5,44.5,3,3
609,32.5,45,3,3
610,34,44,3,3
611,36.1069582726,43.2437443112,3,3
612,32,42,3,3
613,29,42.5,3,4
614,29.6363452968,47.9552182203,3,1
617,38.1647299999,27.1449868615,3,1
621,35.833,10.333,2,4
625,37.0675116667,41.2154466667,3,3
627,35.6,35.8,3,2
628,29.4,42.4,3,3
629,36,40,3,3
630,41.9,12.5,1,4
631,32.5,7.5,2,3
633,41.75,12.25,1,4
634,33.507469,36.312195,3,1
635,30.3383,42.4989,3,4
636,35,18,7,5
637,36.1069582726,43.5,3,3
638,33,33,3,4
661,25,28,2,3
662,25.5,28.75,2,3
663,28.75,42,3,4
665,30.75,34.75,3,3
666,34.60958125,40.22618475,3,3
667,23.9103,35.4737,2,2
668,26,30,2,3
669,28.75,42.5,3,4
671,32.713858,35.573386,3,2
672,32.700095,35.135395,3,2
673,32.895613,35.619825,3,2
674,32.895613,35.619825,3,2
675,39.3,34.7,1,3
676,29.25,42.5,3,4
677,38.2552883,29.7002949,3,2
678,37.5,22.5,1,3
679,28.75,42.5,3,4
680,24,28,7,3
681,25,28,2,3
682,31.87,35.21,3,3
690,34,22,3,4
691,28.75,43,3,4
692,31,34.25,3,3
693,32,54,3,3
694,39.25,40.5,4,3
695,41,29.15,1,2
696,29.7779115,51.5710073,3,2
697,26,30,2,3
698,41.8917375,12.4861685,1,2
699,41.5,12.25,1,4
704,25,30,2,3
705,37.5,22.5,1,3
707,35.986842,38.111375,3,2
708,38.3466880333,23.1846775333,1,3
709,38.3466880333,23.1846775333,1,3
712,26.25,30.25,2,3
713,39.6310737661,30.9895776103,3,3
715,-7.608,110.204,6,1
716,-7.608001,110.203826,6,1
720,29.4,42,3,4
721,41.314905,45.645319,4,1
723,28.75,42.5,3,4
724,38.36,44.33,3,4
725,31.866353,34.920181,3,2
726,27.5,30,2,3
727,46,25,1,3
728,32.43,53.67,3,3
736,40,95,6,1
737,20,78,6,4
738,40.037222,94.804167,6,2
739,34,116.5,6,4
743,42.5,22.5,1,3
744,41.8917375,12.4861685,1,4
745,29.3,42.5,3,4
746,30.3383,42.4989,3,4
747,28.75,42.75,3,4
748,24,29,2,3
749,31.435273,45.973967,3,3
750,30,34.5,3,3
751,34,117,6,4
752,34,22,1,4
753,32.25,53.75,3,3
755,35,19,7,5
756,29.25,35.25,3,3
757,31.8700465,35.443876,3,2
759,41.011,28.97,1,4
760,41.011,28.97,1,4
761,41.011,29.25,1,4
763,41.25,29.25,1,4
764,39.75,28.97,3,4
765,38.488314,28.040286,3,2
766,41.011,28.97,3,4
767,41.011,29.75,1,4
768,40.761,29.5,1,4
769,41.011,28.97,3,4
770,41.011,28.97,1,4
771,40.761,29.25,1,4
772,41.011,28.97,1,4
773,41.011,28.97,3,4
774,39.6310737661,30.9895776103,1,3
775,40.27,28.75,1,4
778,36.84837212,10.32340778,2,2
780,28.75,42.5,3,4
781,13,105,6,3
782,30.3383,42.4989,3,4
783,30.3383,42.4989,3,4
785,36.215,30.407,3,1
786,31.25,34.75,3,3
787,37.5,7.5,2,3
788,35.833,10.333,2,4
789,36.84837212,10.32340778,2,2
790,36.84837212,10.32340778,2,2
791,34.5,101.5,6,4
792,38.036873,-3.6240175,1,2
793,38.036873,-3.6240175,1,2
794,30.435291,57.737995,3,1
795,40.25,29,1,4
796,25.728284,32.601357,2,1
797,36.986559,35.338677,3,2
798,34,49.5,3,3
799,39.283611,43.371944,4,3
800,39.58,40.4,4,3
801,36.5801979293,17.1153617347,1,4
802,32.5,44.5,3,3
803,23,29,2,3
804,29,42.5,3,4
805,30,41,3,4
806,28,41,3,4
807,46,2,1,3
808,46,2,1,3
809,26.820553,30.802498,2,3
810,41.8917375,12.4861685,1,2
811,38.3526615055,43.459885978,3,1
812,33,33,3,3
813,34.5,104,6,4
814,37.70729,-5.346426,1,2
815,35,19,7,5
816,40,35,3,3
817,35,103,6,4
818,36.5801979293,17.1153617347,1,4
819,36.84837212,10.32340778,2,2
820,25.5,29,2,3
821,36.8755945806,40.8976593415,3,2
